English,Chinese
haggle,"争论，（尤指）讲价；讨价还价，争论"
haggard,"（由于生病、焦虑或睡眠不足）憔悴的；未驯服的鹰，悍鹰，哈格德"
stoop,"弯腰，俯身，（站立或行走时）弓背；门廊，驼背，曲背"
droop,"垂下，垂头丧气，沮丧，消沉；下垂，颓丧，（声调的）低沉"
brood,"一窝鸟；孵；焦虑，优思"
defiance,"反抗，违抗，拒绝服从"
injunction,"命令，指令，（法院的）强制令，警告"
conformity,"（对社会规则的）遵从，依照；与...一致，符合"
conviction,"信念，坚定，深信，判罪，定罪"
complicity,"共犯，同谋，勾结"
consultation,"咨询，磋商，查阅，商讨"
profile,"轮廓，简介，形象，外形，侧面；扼要介绍，概述，写简介"
corporal,"（陆军、海军陆战队或英国空军的）下士；身体上的，人身的，躯干的"
inclination,"倾向，意向，趋向，趋势，倾斜度，轻微的向下动作"
accompaniment,"伴随物，（音乐）伴奏，佐餐物，伴随发生的事情"
hitch,"搭便车，搭顺风车；拉起（衣服），把...钩住；把...拴住；（短暂的）故障，障碍，（某种）结"
sway,"摇动，说服，使相信，使动摇；影响，摇摆，摆动，统治"
swarm,"成群地来回移动，成群地飞来飞去；一大群（蜜蜂等昆虫）；一大批（向同方向移动的人）"
swathe,"裹，包，覆盖；（割了庄稼的）一长条田地，一长片"
malice,"恶意，怨恨"
discretion,"谨慎，慎重，审慎，自行决定的自由"
composure,"镇静，镇定，沉着"
smear,"诽谤，（用油性或稀软物质）胡乱涂抹，弄脏，弄上油污；污点，污迹，污渍，（政治上的）抹黑"
wit,"智力，头脑，理解力，风趣（的话语），智者，才子"
casualty,"受害者，遇难者，毁坏物，损坏物"
seizure,"发作，没收，夺取，占领"
brunt,"（来自攻击一方的）主要力量（冲势、压力），突击"
swindle,"诈骗，骗取"
fiddle,"不停摆弄，篡改，对...做手脚，虚度光阴；小提琴，欺诈，骗局，小麻烦"
hoodwink,"蒙蔽，欺骗，欺诈，哄骗，遮眼"
con,"欺骗，指挥（操舵/航路），精读；估计，骗局，欺骗；欺诈的；反对，从反面（副词）；反对，用（介词）"
decoy,"引诱，诱骗；诱饵，假鸟，诱惑物，用作诱饵的人"
antiquity,"古（老），文物，古迹"
chronicle,"编年史，历史；把...载入编年史，按事件顺序记载"
derivation,"（词语）起源，出处，派生"
splinter,"分裂，（使）裂成碎片，分离出来；（木头、金属、玻璃）尖碎片"
conceit,"自负，巧妙的言辞，别出心裁的比喻"
brag,"吹嘘，自吹自擂；第一流的，极好的，活泼的；勃莱格牌戏（简化的扑克牌戏）"
complacement,"（表现出）自满的，自鸣得意的"
melancholy,"忧郁，悲伤；令人悲哀的，沮丧的"
grease,"给...加润滑油，在...上涂油（抹油、擦油）；油脂，润滑脂，（炼过的）动物油脂"
revenue,"财政收入，税收收入，收益"
grimace,"做怪相；鬼脸，怪相，脸部扭曲"
friction,"摩擦（力）；分歧，争执"
lease,"租用，租借，出租；租约，租契"
frenzy,"使狂乱；疯狂，狂乱，狂暴"
rampage,"横冲直撞；暴跳如雷，狂暴行为"
premonition,"（尤指不祥的）预感"
mastery,"精通，控制，熟练掌握，驾驭"
grudge,"怨恨，积怨，嫌隙；勉强做，不情愿地给，吝惜，认为...不应得到"
provocation,"挑衅，刺激，激怒"
lest,"以免"
tacit approval,"默许"
precarious living,"朝不保夕的生活"
unfathomable depth,"深不可测"
violent squall,"狂飑"
the crux of the problem,"问题的症结"
beauty pageant,"选美大赛"
be deft at doing,"善于做某事"
elderly and infirm,"年老体弱"
capricious tyrant,"反复无常的暴君"
abject poverty,"穷困潦倒，赤贫"
indelible impression,"不可磨灭的印象"
tumultuous applause,"热烈的掌声"
incubate the eggs,"孵蛋"
circumvent the law,"规避法律"
a hackneyed subject,"老生常谈的话题"
a band of vagrant beggars,"一伙流浪的乞丐"
